date,min_bid,max_ask,mid,volume
2023-08-10,29361.2,29468.4,29404.55811702321,7083892
2023-08-12,29250.0,29444.7,29365.15878759953,1482428
2023-08-14,29050.0,29464.5,29295.999433092264,11541784
2023-08-15,28689.0,29219.9,29069.932509523303,7246183
2023-08-16,25567.0,26815.7,26249.887814716996,11906218
2023-08-17,25782.3,26246.0,25994.892156332404,44724804
2023-08-21,25792.8,26246.4,26036.722873975697,11417337
2023-08-22,25300.0,26119.7,25914.278736862863,16587543
2023-08-23,25788.0,26800.0,26216.08208113873,20468504
2023-08-24,25954.1,26156.2,26066.87443622427,11916629
2023-08-28,25897.6,28134.8,27089.35006980275,8248696
2023-08-29,25625.6,27595.8,26674.2538471263,27785716
2023-08-30,25735.9,25966.0,25813.1440781406,12856901
2023-08-31,25792.2,26120.8,25909.92579906825,22888090
2023-09-01,25310.0,26142.2,25801.45642047789,14908002
2023-09-02,25735.9,25966.0,25813.1440781406,3134219
2023-09-03,25792.2,26120.8,25909.92579906825,4825345
2023-09-04,25612.9,26087.8,25869.434818483343,6799999
2023-09-05,25535.4,25880.0,25715.910913558397,6520978
2023-09-06,25334.8,26029.9,25676.766705520557,10679351
2023-09-07,25586.4,26414.5,25894.36822571104,11216761
2023-09-08,25617.3,26424.6,25999.978917357224,9941209
2023-09-09,25779.5,25925.0,25856.858629882816,2260876
2023-09-10,25536.0,26012.4,25788.29461926105,7265176
2023-09-11,24871.6,25879.8,25348.87206045904,16392429
2023-09-12,25114.1,26555.0,25920.4596267522,25153953
2023-09-13,25751.0,26399.5,26094.34692883904,12578891
2023-09-14,26118.6,26864.0,26468.685816560264,15235147
2023-09-15,26214.9,26885.8,26494.93414361348,9420382
2023-09-16,26395.4,26614.2,26507.900983432315,4766948
2023-09-17,26367.6,27405.0,26922.72385747293,3554074
2023-09-18,26653.2,27504.4,27108.503753256744,20325478
2023-09-19,26767.0,27381.9,27105.83306128743,18398659
2023-09-21,26357.8,27146.9,26727.426654883744,13129758
2023-09-22,26460.1,26727.4,26600.179459747476,6816190
2023-09-23,26501.8,26619.8,26564.730517416046,2203797
2023-09-24,26100.0,26728.5,26500.93977095505,10720123
2023-09-26,26075.0,26382.1,26220.284939500736,9471053
2023-09-27,26088.9,26836.0,26376.413190703704,15548459
2023-09-28,26317.2,27296.6,26751.344301371264,18471484
2023-09-29,26635.9,27235.1,26942.51943129973,12145347
